nom;annee;groupe;temp_RF_moy;pr_RF_total;soil_temp_upper_moy;SMOD_modis;nombre de jour de neige ;LFD_nival
CADI_POP4;2001;Autres sites;4.62341395211602;731.687129444167;5.94547945205479;282;50;325
CADI_POP4;2002;Autres sites;4.74046963868268;850.145452771303;5.55890410958904;225;57;321
CADI_POP4;2003;Autres sites;4.50122595740309;814.025796475747;5.76383561643836;256;64;307
CADI_POP4;2004;Autres sites;4.68632260657194;721.008586054686;4.88306010928962;260;44;318
CADI_POP4;2005;Autres sites;4.52358963364945;616.004583074333;4.77287671232877;206;61;322
CADI_POP4;2006;Autres sites;5.66006425246014;613.446188762163;6.0441095890411;250;17;280
CADI_POP4;2007;Autres sites;5.12517719110992;580.027564689722;5.3786301369863;239;31;315
CADI_POP4;2008;Autres sites;4.50853579261613;898.391008600659;4.7224043715847;245;68;326
CADI_POP4;2009;Autres sites;4.85351170477857;798.473036613387;5.53945205479452;260;51;322
CADI_POP4;2010;Autres sites;3.62402878447443;859.995896311967;4.12986301369863;214;40;328
CADI_POP4;2011;Autres sites;5.76700368886998;693.604748345174;6.09890410958904;230;15;323
CADI_POP4;2012;Autres sites;5.21771165718093;661.694954491804;5.95792349726776;268;50;327
CADI_POP4;2013;Autres sites;4.59776512844657;782.811104754505;4.53452054794521;221;68;315
CADI_POP4;2014;Autres sites;5.43336216945692;1018.88634477374;5.16219178082192;209;31;313
CADI_POP4;2015;Autres sites;5.69755360269538;781.719762137862;6.53671232876712;238;33;299
CADI_POP4;2016;Autres sites;3.62829869100981;803.35365939616;5.89754098360656;225;67;320
CADI_POP4;2017;Autres sites;5.14731907712886;773.717746497946;6.25671232876712;238;60;306
CADI_POP4;2018;Autres sites;4.68065837649007;1095.33039443473;5.72712328767123;247;52;326
CADI_POP4;2019;Autres sites;4.84068017008403;778.184058968809;6.48328767123288;227;59;319
CADI_POP4;2020;Autres sites;4.92039079919003;793.646229030229;6.63251366120219;235;32;318
CADI_POP4;2021;Autres sites;4.67868107336578;640.531762646722;5.84;216;26;NA
EYNE_POP1;2000;Autres sites;3.32173846087425;815.917374048999;6.77650273224044;235;39;331
EYNE_POP1;2001;Autres sites;3.28471147559973;705.988161584276;6.6558904109589;258;67;325
EYNE_POP1;2002;Autres sites;2.95389301105104;1034.97100956686;6.4041095890411;225;65;327
EYNE_POP1;2003;Autres sites;3.06223027912957;1027.76882844748;6.81424657534247;278;63;313
EYNE_POP1;2004;Autres sites;2.81660777210326;881.507423418841;6.01803278688525;261;79;330
EYNE_POP1;2005;Autres sites;2.57404497489916;830.234430016034;6.23808219178082;266;75;324
EYNE_POP1;2006;Autres sites;3.67046547330846;679.57345018069;7.61616438356164;341;35;311
EYNE_POP1;2007;Autres sites;3.27212055116359;671.998672908128;6.82054794520548;269;39;316
EYNE_POP1;2008;Autres sites;2.79820080150934;933.191667228088;6.29699453551913;248;68;326
EYNE_POP1;2009;Autres sites;3.19881373782846;881.612298932127;7.00821917808219;266;53;322
EYNE_POP1;2010;Autres sites;1.83830077968209;975.771969950038;5.47561643835616;239;45;328
EYNE_POP1;2011;Autres sites;3.8446193841675;885.693932059784;7.37506849315068;253;73;327
EYNE_POP1;2012;Autres sites;3.36928770505948;659.553569408546;7.23579234972678;277;59;328
EYNE_POP1;2013;Autres sites;2.50410734691476;1014.28448519054;6.40356164383562;274;68;323
EYNE_POP1;2014;Autres sites;3.31213660337137;1079.74474082954;6.78739726027397;240;59;332
EYNE_POP1;2015;Autres sites;3.68409949913762;901.796893447293;7.77917808219178;247;37;299
EYNE_POP1;2016;Autres sites;2.36395854293441;829.510698440613;7.16120218579235;261;66;332
EYNE_POP1;2017;Autres sites;3.3931732016528;926.270292230823;7.35561643835616;253;56;329
EYNE_POP1;2018;Autres sites;3.17382764380752;1332.16512526918;6.72;285;47;326
